profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse,mean_physical_delay_rmse_ns,mean_projected_broadside_angle_rmse_deg,mean_matched_physical_paths,mean_clean_grid_physical_delay_rmse_ns,mean_clean_grid_projected_broadside_angle_rmse_deg,mean_physical_delay_rmse_gap_vs_clean_grid_ns,mean_projected_angle_rmse_gap_vs_clean_grid_deg
A,20260626.0,0.0,4.0,2.0,-5.390618205778297,1.0,0.7116990001480077,1.0,0.7116990001480077,44.0,200.0,1.0,1.0,0.0,0.0,47.27629882979855,23.992883543229727,4.0,47.27629882979855,23.992883543229727,0.0,0.0
A,20260626.0,0.0,16.0,2.0,-8.378510039737167,0.84375,0.862118308932935,0.9928835746343134,0.8684005695684456,44.0,200.0,0.875,0.90625,0.39328304624274657,0.6123724356957945,151.65243778169088,26.40860351782851,16.0,151.0621632646339,27.147129303052715,0.5902745170569688,-0.7385257852242084
A,20260626.0,20.0,4.0,2.0,-5.411350381031246,1.0,0.7116990001480077,1.0,0.7116990001480077,44.0,200.0,1.0,1.0,0.0,0.0,47.27629882979855,23.992883543229727,4.0,47.27629882979855,23.992883543229727,0.0,0.0
A,20260626.0,20.0,16.0,2.0,-8.935147397536586,0.96875,0.8683170052511193,0.9999072161450104,0.8684005695684456,44.0,200.0,0.96875,0.96875,0.1767766952966369,0.33071891388307384,149.52796356622616,27.542395110209647,16.0,151.0621632646339,27.147129303052715,-1.534199698407761,0.3952658071569317
C,20260626.0,0.0,4.0,2.0,-8.728948206317352,0.875,0.8535458618544423,0.9994446407220146,0.8540550618248494,14.5,58.5,0.875,0.875,0.25,0.7071067811865476,28.897400206337274,10.396810437675006,4.0,17.78666978304566,7.199634426143228,11.110730423291612,3.197176011531777
C,20260626.0,0.0,16.0,2.0,-11.57410375080565,0.75,0.945015061635726,0.9888947015496935,0.9556839366090114,14.5,58.5,0.8125,0.78125,3.9171568288261884,1.2744482182919175,275.5294819519353,43.51762882853953,16.0,89.56621860929386,47.01275832173933,185.96326334264143,-3.495129493199798
C,20260626.0,20.0,4.0,2.0,-8.801764985448044,1.0,0.8540550618248494,1.0,0.8540550618248494,14.5,58.5,1.0,1.0,0.0,0.0,17.78666978304566,7.199634426143228,4.0,17.78666978304566,7.199634426143228,0.0,0.0
C,20260626.0,20.0,16.0,2.0,-13.850680147142086,0.96875,0.9556268149104898,0.999941258901789,0.9556839366090114,14.5,58.5,0.96875,0.96875,0.21650635094610965,0.1767766952966369,98.18080363017313,50.57970451000298,16.0,89.56621860929386,47.01275832173933,8.614585020879261,3.5669461882636533
D,20260626.0,0.0,4.0,2.0,-14.576380852825206,0.875,0.9682413077725496,0.9994145246670618,0.968805710473591,2.5,13.5,1.0,0.875,0.0,0.25,95.67384726005159,11.967433565548259,4.0,95.67384726005159,10.42543679196854,0.0,1.5419967735797186
D,20260626.0,0.0,16.0,2.0,-13.521967435653451,0.53125,0.9823471088189435,0.9901841781919631,0.9920830409636668,2.5,13.5,0.625,0.59375,22.29372593149945,2.6516504294495533,431.9753780861149,43.772002492251765,13.0,350.90050124267,51.71142328217287,81.07487684344491,-7.939420789921112
D,20260626.0,20.0,4.0,2.0,-15.10850989844754,1.0,0.968805710473591,1.0,0.968805710473591,2.5,13.5,1.0,1.0,0.0,0.0,95.67384726005159,10.42543679196854,4.0,95.67384726005159,10.42543679196854,0.0,0.0
D,20260626.0,20.0,16.0,2.0,-21.00695382974554,0.96875,0.9920793982684004,0.9999963324803535,0.9920830409636668,2.5,13.5,0.96875,0.96875,1.4252192813739224,0.39528470752104744,398.3454640662569,51.574185474625565,13.0,350.90050124267,51.71142328217287,47.444962823586906,-0.13723780754730797
